	Alabama	Alaska	Arizona	Arkansas	California	Colorado	Connecticut	Delaware	District of Columbia	Florida	Georgia	Hawaii	Idaho	Illinois	Indiana	Iowa	Kansas	Kentucky	Louisiana	Maine	Maryland	Massachusetts	Michigan	Minnesota	Mississippi	Missouri	Montana	Nebraska	Nevada	New Hampshire	New Jersey	New Mexico	New York	Non-US	North Carolina	North Dakota	Ohio	Oklahoma	Oregon	Pennsylvania	Puerto Rico	Rhode Island	South Carolina	South Dakota	Tennessee	Texas	Utah	Vermont	Virginia	Washington	West Virginia	Wisconsin	Wyoming
ABILENE-CHRISTIAN				9.8%																				10.6%		11.0%								14.1%				11.6%	7.6%	11.0%						21.8%				2.4%			
AIR-FORCE			12.5%		10.0%	8.7%				0.0%					15.8%	9.5%					0.0%		0.7%																							42.8%						0.0%	
AKRON														13.8%	21.2%			0.5%								11.8%							2.7%	8.0%			31.2%														10.9%		
ALABAMA-AM	42.8%				0.6%	11.7%				8.5%	3.9%				15.3%																			1.5%	5.3%		10.4%																
ALABAMA-BIRMINGHAM	29.0%			0.2%						13.4%	11.6%				10.7%			9.2%	12.0%														13.1%	0.6%																			
ALABAMA-STATE	11.3%				9.0%					3.1%				14.5%	0.0%			6.0%							4.8%	6.3%																			2.4%	42.5%							
ALABAMA	12.0%				16.9%				8.0%	15.8%	9.3%			0.0%				0.2%													15.9%		0.0%	11.4%									9.0%							1.4%			
ALBANY-NY										9.5%				0.0%		10.3%					26.4%										1.4%		14.3%							38.1%													
ALCORN-STATE											0.0%			12.2%	9.5%				43.1%						22.1%								1.0%				8.2%									4.0%							
AMERICAN					3.6%	8.6%				29.1%	0.3%										28.6%										0.8%		6.0%	6.7%												8.7%						7.7%	
APPALACHIAN-STATE					2.2%					13.3%	10.5%				2.5%																		15.4%	1.0%	55.1%																		
ARIZONA-STATE			8.7%		2.6%				10.9%																						10.1%			6.2%	15.1%		31.7%					14.7%				0.0%							
ARIZONA			13.4%		3.6%																													71.6%															9.9%	1.4%			
ARKANSAS-LITTLE-ROCK	7.4%			15.5%						15.2%	1.7%												1.6%						0.0%					58.5%																			
ARKANSAS-PINE-BLUFF	7.9%			57.0%						4.8%						9.4%																		0.1%				2.7%							11.1%	7.0%							
ARKANSAS-STATE	8.1%			32.8%						6.5%				5.1%															5.0%		10.5%			16.0%											16.1%								
ARKANSAS	14.3%			35.1%	0.1%						20.6%										11.6%												2.5%					4.8%								11.0%							
ARMY			0.0%								0.0%				22.4%				5.5%		15.5%						1.0%				8.5%				0.3%					1.8%			26.1%			0.5%			18.4%				
AUBURN	5.6%			7.1%						0.4%	63.7%								0.4%				12.3%												0.1%										10.4%								
AUSTIN-PEAY					3.5%					11.7%	16.9%																				13.2%			12.8%	15.2%										15.4%	11.3%							
BALL-STATE	7.6%										8.4%			27.9%	36.8%								5.2%											0.8%			11.9%								1.5%								
BAYLOR					15.9%						12.9%						0.3%							12.4%										30.0%			5.8%									22.6%							
BELLARMINE															56.9%			2.5%																			39.8%								0.8%								
BELMONT				4.9%							27.9%			3.3%		3.8%										2.6%											12.5%								43.2%							1.8%	
BINGHAMTON							0.3%			2.7%	3.6%										23.7%										0.3%		25.6%	15.5%						13.2%						14.9%							
BOISE-STATE			15.0%										8.2%	0.8%			2.2%																	47.0%												7.0%			0.0%	19.8%			
BOSTON-COLLEGE										5.7%	13.1%			0.2%	2.5%							36.8%												20.1%						0.0%			4.5%							0.6%		16.5%	
BOSTON-UNIVERSITY					21.9%		24.6%								3.8%							9.0%											9.2%							14.8%												16.8%	
BOWLING-GREEN-STATE					0.0%					11.1%				0.0%									7.7%			10.2%					11.5%			2.4%			25.2%			14.2%						9.1%					8.7%		
BRADLEY					10.0%									9.1%	11.2%			2.9%						0.1%									14.0%	50.5%																		2.0%	
BRIGHAM-YOUNG			15.3%																9.6%															22.4%												11.7%	26.3%					14.7%	
BROWN					8.2%									3.7%			0.4%				14.4%	25.7%	9.9%										0.3%	9.5%	11.0%							2.3%	14.4%			0.0%							
BRYANT							0.0%							2.2%							7.2%	0.0%	0.0%								0.4%		60.6%	24.5%						0.5%		4.6%											
BUCKNELL					5.6%						5.5%			10.8%																	15.5%			4.3%	14.0%					17.4%						6.6%			20.1%				
BUFFALO					0.6%					16.2%	1.2%					7.2%						2.1%		6.7%									30.0%	11.5%	1.1%					5.7%			7.2%									10.5%	
BUTLER									11.9%						19.1%						12.4%		7.9%										16.9%	12.7%	0.3%								0.4%		0.0%				11.9%			6.7%	
CAL-POLY			0.5%		70.3%																													16.4%															12.7%				
CAL-STATE-BAKERSFIELD				15.1%	33.8%					6.6%							1.7%				4.2%				6.2%	8.6%			4.4%					13.5%						0.7%					5.2%								
CAL-STATE-FULLERTON					30.2%									11.0%									15.2%					10.3%	0.0%		14.8%			2.8%												15.8%							
CAL-STATE-NORTHRIDGE					90.6%									9.4%																																							
CALIFORNIA-BAPTIST			8.7%		19.1%																													72.2%																			
CALIFORNIA-DAVIS			11.2%		25.0%	5.6%																												38.5%																19.6%			
CALIFORNIA-IRVINE			0.8%		32.5%						10.9%																							19.3%										11.2%						13.8%		11.6%	
CALIFORNIA-RIVERSIDE					32.4%																												0.0%	47.1%	14.0%											6.5%							
CALIFORNIA-SAN-DIEGO					39.8%									7.4%									2.8%	12.4%					15.8%					21.8%													0.0%			0.0%		0.0%	
CALIFORNIA-SANTA-BARBARA					21.2%												0.0%							12.5%							11.9%			41.2%												13.0%				0.1%			
CALIFORNIA					20.7%					0.0%																							10.2%	47.4%	16.2%										5.5%	0.0%							
CAMPBELL	13.1%										16.2%										0.1%													24.0%	30.7%								0.0%		16.0%								
