	Alabama	Alaska	Arizona	Arkansas	California	Colorado	Connecticut	Delaware	District of Columbia	Florida	Georgia	Hawaii	Idaho	Illinois	Indiana	Iowa	Kansas	Kentucky	Louisiana	Maine	Maryland	Massachusetts	Michigan	Minnesota	Mississippi	Missouri	Montana	Nebraska	Nevada	New Hampshire	New Jersey	New Mexico	New York	Non-US	North Carolina	North Dakota	Ohio	Oklahoma	Oregon	Pennsylvania	Puerto Rico	Rhode Island	South Carolina	South Dakota	Tennessee	Texas	Utah	Vermont	Virginia	Washington	West Virginia	Wisconsin	Wyoming
ABILENE-CHRISTIAN				12.6%																				10.9%		8.6%								14.7%				14.2%	8.5%	12.5%						15.9%				2.1%			
AIR-FORCE			11.7%		13.1%	5.5%				0.0%					15.9%	8.5%					0.0%		0.0%																							45.3%						0.0%	
AKRON														15.3%	25.8%			1.4%								12.3%							2.0%	6.0%			30.1%														7.2%		
ALABAMA-AM	37.6%				0.3%	12.1%				5.9%	2.6%				25.1%																			0.5%	4.8%		11.2%																
ALABAMA-BIRMINGHAM	24.2%			0.5%						12.7%	13.3%				11.7%			8.9%	9.7%														18.7%	0.3%																			
ALABAMA-STATE	11.3%				5.9%					6.3%				14.3%	0.0%			7.0%							4.7%	3.8%																			3.1%	43.7%							
ALABAMA	10.3%				19.8%				7.4%	14.8%	8.9%			0.0%				0.6%													18.8%		0.0%	9.1%									10.1%							0.2%			
ALBANY-NY										11.1%				0.0%		8.8%					31.0%										2.0%		15.4%							31.7%													
ALCORN-STATE											0.0%			12.5%	7.7%				40.4%						25.3%								0.2%				10.2%									3.6%							
AMERICAN					2.9%	7.4%				34.4%	0.0%										30.1%										0.5%		4.4%	4.4%												7.4%						8.5%	
APPALACHIAN-STATE					1.8%					8.8%	11.3%				2.6%																		14.2%	1.2%	60.0%																		
ARIZONA-STATE			6.5%		3.7%				12.9%																						9.0%			5.4%	21.5%		23.5%					17.6%				0.0%							
ARIZONA			8.0%		3.0%																													80.0%															8.5%	0.5%			
ARKANSAS-LITTLE-ROCK	8.4%			11.8%						18.4%	1.1%												1.3%						0.0%					59.0%																			
ARKANSAS-PINE-BLUFF	6.2%			62.3%						1.6%						12.9%																		0.3%				1.6%							12.8%	2.4%							
ARKANSAS-STATE	7.6%			36.7%						5.8%				2.5%															3.6%		6.7%			25.2%											11.9%								
ARKANSAS	14.0%			27.5%	0.0%						24.4%										14.2%												2.6%					4.3%								13.1%							
ARMY			0.0%								0.0%				22.2%				4.7%		21.9%						2.3%				8.2%				0.5%					0.9%			24.8%			0.9%			13.6%				
AUBURN	3.6%			5.0%						0.0%	66.2%								1.0%				15.8%												0.0%										8.4%								
AUSTIN-PEAY					1.5%					9.1%	18.8%																				18.1%			8.8%	19.3%										17.3%	7.1%							
BALL-STATE	6.5%										7.2%			26.8%	40.9%								4.3%											0.4%			12.7%								1.2%								
BAYLOR					17.4%						13.8%						0.6%							14.3%										26.1%			2.8%									25.0%							
BELLARMINE															57.2%			1.4%																			40.0%								1.3%								
BELMONT				3.6%							33.6%			2.7%		3.1%										3.3%											19.3%								32.7%							1.7%	
BINGHAMTON							0.1%			4.6%	3.5%										25.2%										0.1%		22.4%	16.2%						11.5%						16.4%							
BOISE-STATE			17.4%										2.1%	1.7%			0.4%																	51.2%												6.6%			0.0%	20.7%			
BOSTON-COLLEGE										3.3%	13.4%			0.0%	1.4%							37.2%												23.2%						0.1%			5.0%							0.2%		16.2%	
BOSTON-UNIVERSITY					14.3%		24.8%								2.4%							7.8%											5.5%							20.7%												24.5%	
BOWLING-GREEN-STATE					0.0%					11.0%				0.0%									8.1%			14.7%					10.8%			2.5%			23.8%			19.1%						4.8%					5.3%		
